;accuracy MEAN;accuracy SD
dt (10, 2, 1, 'cross-validation', 'Classifier');0,9266115953012506;0,1078627230076098
dt (100, 2, 1, 'cross-validation', 'Classifier');0,9266115953012506;0,1078627230076098
dt (1000, 2, 1, 'cross-validation', 'Classifier');0,9266115953012506;0,1078627230076098
dt (10, 20, 1, 'cross-validation', 'Classifier');0,9251346722243274;0,10699592133587206
dt (100, 20, 1, 'cross-validation', 'Classifier');0,9251346722243274;0,10699592133587206
dt (1000, 20, 1, 'cross-validation', 'Classifier');0,9251346722243274;0,10699592133587206
knn (1, 'noScaling', 'uniform', 'cross-validation', 'Classifier');0,9066700265251988;0,12018657954088365
knn (1, 'noScaling', 'distance', 'cross-validation', 'Classifier');0,9066700265251988;0,12018657954088365
knn (1, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,8950954149298976;0,13595444332701564
knn (1, 'scaling', 'distance', 'cross-validation', 'Classifier');0,8950954149298976;0,13595444332701564
dt (10, 2000, 200, 'cross-validation', 'Classifier');0,8927866616142479;0,13058142518941965
dt (100, 2000, 200, 'cross-validation', 'Classifier');0,8927866616142479;0,13058142518941965
dt (1000, 2000, 200, 'cross-validation', 'Classifier');0,8927866616142479;0,13058142518941965
dt (10, 2, 200, 'cross-validation', 'Classifier');0,891926866237211;0,12953135700636298
dt (10, 20, 200, 'cross-validation', 'Classifier');0,891926866237211;0,12953135700636298
dt (10, 200, 200, 'cross-validation', 'Classifier');0,891926866237211;0,12953135700636298
dt (100, 2, 200, 'cross-validation', 'Classifier');0,891926866237211;0,12953135700636298
dt (100, 20, 200, 'cross-validation', 'Classifier');0,891926866237211;0,12953135700636298
dt (100, 200, 200, 'cross-validation', 'Classifier');0,891926866237211;0,12953135700636298
dt (1000, 2, 200, 'cross-validation', 'Classifier');0,891926866237211;0,12953135700636298
dt (1000, 20, 200, 'cross-validation', 'Classifier');0,891926866237211;0,12953135700636298
dt (1000, 200, 200, 'cross-validation', 'Classifier');0,891926866237211;0,12953135700636298
knn (3, 'noScaling', 'distance', 'cross-validation', 'Classifier');0,8917721106479728;0,13234999089650895
knn (3, 'noScaling', 'uniform', 'cross-validation', 'Classifier');0,8890633573323228;0,13515015762071986
knn (5, 'noScaling', 'distance', 'cross-validation', 'Classifier');0,8885730958696476;0,12848050811579775
knn (3, 'scaling', 'distance', 'cross-validation', 'Classifier');0,8874623721106479;0,14032029196925944
knn (10, 'noScaling', 'distance', 'cross-validation', 'Classifier');0,8845115574081092;0,12648866051129332
knn (5, 'scaling', 'distance', 'cross-validation', 'Classifier');0,8817982569154983;0,1472214505112185
knn (3, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,8817978021978021;0,14896033915031817
knn (10, 'noScaling', 'uniform', 'cross-validation', 'Classifier');0,8816794998105344;0,13000849398709366
knn (5, 'noScaling', 'uniform', 'cross-validation', 'Classifier');0,8815549071618036;0,13624129405764812
knn (5, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,8797053429329292;0,14849569899918397
knn (10, 'scaling', 'distance', 'cross-validation', 'Classifier');0,876996665403562;0,1509410354196234
knn (50, 'noScaling', 'distance', 'cross-validation', 'Classifier');0,8745516483516482;0,11001821113701879
knn (10, 'scaling', 'uniform', 'cross-validation', 'Classifier');0,8731793861311103;0,15632471083879623
dt (10, 200, 1, 'cross-validation', 'Classifier');0,8677657446002274;0,15455002493332132
dt (100, 200, 1, 'cross-validation', 'Classifier');0,8677657446002274;0,15455002493332132
dt (1000, 200, 1, 'cross-validation', 'Classifier');0,8677657446002274;0,15455002493332132
dt (10, 2, 10, 'cross-validation', 'Classifier');0,8661621826449413;0,1614097190594611
dt (10, 20, 10, 'cross-validation', 'Classifier');0,8661621826449413;0,1614097190594611
dt (100, 2, 10, 'cross-validation', 'Classifier');0,8661621826449413;0,1614097190594611
dt (100, 20, 10, 'cross-validation', 'Classifier');0,8661621826449413;0,1614097190594611
dt (1000, 2, 10, 'cross-validation', 'Classifier');0,8661621826449413;0,1614097190594611
dt (1000, 20, 10, 'cross-validation', 'Classifier');0,8661621826449413;0,1614097190594611
knn (50, 'noScaling', 'uniform', 'cross-validation', 'Classifier');0,8644594164456233;0,11947185695732206
