k;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling
weights;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance
validation method;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation
classifier;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform
fit time MEAN;0,09375;0,0;0,0;0,18239636421203614;0,00440058708190918;0,0043944835662841795;0,109375;0,0;0,0;0,27959671020507815;0,0051953792572021484;0,004605865478515625;0,046875;0,0;0,015625;0,07897434234619141;0,0009919166564941405;0,0009998321533203126;0,0625;0,0;0,0;0,07178912162780762;0,001605224609375;0,00259547233581543;0,125;0,0;0,0;0,2047933578491211;0,005601263046264649;0,005189371109008789;0,125;0,0;0,0;0,20758490562438964;0,004793596267700195;0,004986619949340821;0,046875;0,0;0,0;0,09638361930847168;0,0017982006072998046;0,0014081954956054687;0,0625;0,0;0,0;0,09479098320007324;0,0017995834350585938;0,0015985965728759766;0,125;0,0;0,0;0,24939804077148436;0,006798505783081055;0,005792808532714844;0,125;0,0;0,0;0,25298128128051756;0,006793212890625;0,005804777145385742;0,046875;0,0;0,0;0,09339447021484375;0,0014023780822753906;0,00099334716796875;0,046875;0,0;0,0;0,08314218521118164;0,001201629638671875;0,002803516387939453;0,125;0,0;0,0;0,2801342964172363;0,004802608489990234;0,004200506210327149;0,109375;0,0;0,0;0,2973952770233154;0,006401205062866211;0,0041926860809326175;0,046875;0,0;0,0;0,08318829536437988;0,002596139907836914;0,0014051437377929688;0,046875;0,0;0,0;0,10040292739868165;0,0018034934997558593;0,0010021209716796875;0,125;0,0;0,0;0,226592493057251;0,006000614166259766;0,006000614166259766;0,140625;0,0;0,0;0,3452753067016602;0,008402442932128907;0,007796430587768554;0,09375;0,0;0,0;0,09839329719543458;0,0019996166229248047;0,0018126487731933594;0,09375;0,0;0,0;0,13000454902648925;0,0019941329956054688;0,002991199493408203
fit time SD;0,0;0,0;0,0;0,021082791880627408;0,002420588195533561;0,0008035039526929484;0,0;0,0;0,0;0,06258079663927878;0,0007425088454168204;0,00048283916106316995;0,0;0,0;0,0;0,029287426142636783;1,704090852416849e-05;9,603978612028535e-06;0,0;0,0;0,0;0,01418063031906022;0,0008086382658902094;0,0004896685888617722;0,0;0,0;0,0;0,012256120600777354;0,0007980552244684321;0,0004033319541528096;0,0;0,0;0,0;0,018779558587886422;0,0009722952561386681;0,0006452307800469313;0,0;0,0;0,0;0,011194962827492426;0,0003996285257916904;0,0004972537952403286;0,0;0,0;0,0;0,01701713187282751;0,000748461244702837;0,0004909922315054181;0,0;0,0;0,0;0,02299151604957525;0,0013265155778298357;0,0015958997870473203;0,0;0,0;0,0;0,026568241097520533;0,0007506928328071798;0,0007519673907913046;0,0;0,0;0,0;0,04394304255457801;0,0004958411773297378;1,5720880708782685e-05;0,0;0,0;0,0;0,010632453531728878;0,00039783004486702546;0,00116761386194275;0,0;0,0;0,0;0,02016219088716741;0,0009707803510861473;0,0007481893717418698;0,0;0,0;0,0;0,06710800642443927;0,0008001540298269677;0,0007524399188737987;0,0;0,0;0,0;0,00763303935934537;0,0008057430996878389;0,0004920053906990244;0,0;0,0;0,0;0,03414205462805252;0,0009799138251537361;0,0006324911468235341;0,0;0,0;0,0;0,003611746399538536;0,0006411759530495477;0,0010925837305430096;0,0;0,0;0,0;0,024816970672915148;0,0010203240418208061;0,0007480823188530909;0,0;0,0;0,0;0,0007949033551396829;4,388456483781257e-06;0,0007718436482904801;0,0;0,0;0,0;0,029742908635262685;0,0006346922361206765;0,0008786240734640761
score time MEAN;1,375;0,28125;0,21875;0,31620073318481445;0,008004236221313476;0,0061985492706298825;1,390625;0,234375;0,265625;0,15200228691101075;0,006595802307128906;0,007994651794433594;0,625;0,28125;0,265625;0,20520029067993165;0,0060005664825439455;0,005595159530639648;0,578125;0,265625;0,296875;0,10740671157836915;0,007790040969848633;0,009875869750976563;1,6875;0,296875;0,28125;0,3936042308807373;0,010009336471557616;0,008614778518676758;1,640625;0,265625;0,21875;0,3442069530487061;0,010410785675048828;0,008197402954101563;0,875;0,25;0,25;0,3066088199615479;0,010410499572753907;0,0073909759521484375;0,6875;0,265625;0,265625;0,1252084732055664;0,01060628890991211;0,005813074111938476;1,78125;0,296875;0,53125;0,5362037658691406;0,01060795783996582;0,007599639892578125;2,0;0,25;0,265625;0,3836083889007568;0,011201620101928711;0,0092041015625;0,8125;0,265625;0,25;0,3238027095794678;0,010322809219360352;0,006396484375;0,734375;0,25;0,265625;0,20880389213562012;0,00941324234008789;0,01119856834411621;2,515625;0,296875;0,25;0,5747507572174072;0,00799098014831543;0,006605339050292969;2,109375;0,28125;0,25;0,34899563789367677;0,00880603790283203;0,007006597518920898;0,921875;0,25;0,25;0,39740686416625975;0,013002777099609375;0,009598731994628906;0,9375;0,28125;0,265625;0,23119969367980958;0,0091949462890625;0,007613086700439453;2,984375;0,296875;0,265625;0,721400260925293;0,009596157073974609;0,009002923965454102;2,234375;0,375;0,375;0,6083993434906005;0,013195562362670898;0,01420450210571289;2,21875;0,53125;0,4375;0,5436044216156006;0,012602949142456054;0,013789558410644531;2,0;0,59375;0,984375;0,3330023765563965;0,012802696228027344;0,012594842910766601
score time SD;0,0;0,0;0,0;0,0031850597709061085;0,0022734952113863897;0,0007472115499831302;0,0;0,0;0,0;0,011523330700088841;0,0018521458608148857;0,001097568167471892;0,0;0,0;0,0;0,027607640947499422;0,0010994597371870732;0,0007997837203361668;0,0;0,0;0,0;0,041703234035479264;0,0016007435644950195;0,0014244726239269572;0,0;0,0;0,0;0,051482696504889784;0,0006207417958081933;0,0004902761191968387;0,0;0,0;0,0;0,056481618496312475;0,0007968481520881683;0,0011659239597024702;0,0;0,0;0,0;0,026414783715161646;0,0010229587388228675;0,0004905783322930072;0,0;0,0;0,0;0,03886015469091021;0,0007987706027025114;0,0011613609009582262;0,0;0,0;0,0;0,03314723598442372;0,0004831106207419311;0,001029115246382765;0,0;0,0;0,0;0,0273422470915247;0,0007447450896011539;0,0004048082199212051;0,0;0,0;0,0;0,02324801175732611;0,0013555129581337567;0,001021494661425632;0,0;0,0;0,0;0,033531227531196646;0,0008124237958685818;0,0007562521486248978;0,0;0,0;0,0;0,020296825241130023;0,001103426144597019;0,0010198243888573783;0,0;0,0;0,0;0,04127712688775163;0,0013414070881598973;0,0016763143826850554;0,0;0,0;0,0;0,028836416428284876;0,0006424012525045419;0,0007944286082243724;0,0;0,0;0,0;0,021925995965548596;0,0011709951810727208;0,00048748652503070926;0,0;0,0;0,0;0,020534194229673557;0,001016959958649008;0,0006278440639873847;0,0;0,0;0,0;0,15628283368476129;0,001164907550290695;0,0011652512573105006;0,0;0,0;0,0;0,059772177035166164;0,0008008830147167271;0,0011754486044415794;0,0;0,0;0,0;0,05361994840892266;0,0007451319100972858;0,001016349007953017
accuracy MEAN;1,0;0,4898461538461538;0,4806153846153846;0,8950954149298976;0,49446009852216743;0,4985257294429708;1,0;0,4898461538461538;0,4806153846153846;0,8950954149298976;0,49446009852216743;0,4985257294429708;1,0;0,4898461538461538;0,4806153846153846;0,9066700265251988;0,49446009852216743;0,4985257294429708;1,0;0,4898461538461538;0,4806153846153846;0,9066700265251988;0,49446009852216743;0,4985257294429708;1,0;0,4898461538461538;0,4806153846153846;0,8817978021978021;0,49446009852216743;0,4985257294429708;1,0;0,4898461538461538;0,4806153846153846;0,8874623721106479;0,49446009852216743;0,4985257294429708;0,9981538461538462;0,4898461538461538;0,4806153846153846;0,8890633573323228;0,49446009852216743;0,4985257294429708;0,9987692307692307;0,4898461538461538;0,4806153846153846;0,8917721106479728;0,49446009852216743;0,4985257294429708;1,0;0,4898461538461538;0,4806153846153846;0,8797053429329292;0,49446009852216743;0,4985257294429708;1,0;0,4898461538461538;0,4806153846153846;0,8817982569154983;0,49446009852216743;0,4985257294429708;0,9987692307692307;0,4898461538461538;0,4806153846153846;0,8815549071618036;0,49446009852216743;0,4985257294429708;0,9993846153846154;0,4898461538461538;0,4806153846153846;0,8885730958696476;0,49446009852216743;0,4985257294429708;0,9969230769230769;0,4898461538461538;0,4806153846153846;0,8731793861311103;0,49446009852216743;0,4985257294429708;0,9993846153846154;0,4898461538461538;0,4806153846153846;0,876996665403562;0,49446009852216743;0,4985257294429708;0,9956923076923077;0,4898461538461538;0,4806153846153846;0,8816794998105344;0,49446009852216743;0,4985257294429708;0,9969230769230769;0,4898461538461538;0,4806153846153846;0,8845115574081092;0,49446009852216743;0,4985257294429708;0,9876923076923076;0,4898461538461538;0,4806153846153846;0,8382272072754832;0,49446009852216743;0,4985257294429708;0,9938461538461538;0,4898461538461538;0,4806153846153846;0,8573045092838196;0,49446009852216743;0,4985257294429708;0,9723076923076923;0,4898461538461538;0,4806153846153846;0,8644594164456233;0,49446009852216743;0,4985257294429708;0,9809230769230769;0,4898461538461538;0,4806153846153846;0,8745516483516482;0,49446009852216743;0,4985257294429708
accuracy SD;0,0;0,0;0,0;0,13595444332701564;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,13595444332701564;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,12018657954088365;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,12018657954088365;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,14896033915031817;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,14032029196925944;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,13515015762071986;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,13234999089650895;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,14849569899918397;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,1472214505112185;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,13624129405764812;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,12848050811579775;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,15632471083879623;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,1509410354196234;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,13000849398709366;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,12648866051129332;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,15781432329181463;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,1479257159006975;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,11947185695732206;0,0036222491913592892;0,01151546406606403;0,0;0,0;0,0;0,11001821113701879;0,0036222491913592892;0,01151546406606403
