;accuracy MEAN;accuracy SD
ridge (10.0, 'noScaling', 'cross-validation', 'Classifier');0,748;0,020396078054371165
ridge (5.0, 'noScaling', 'cross-validation', 'Classifier');0,7373333333333333;0,014966629547095751
ridge (50.0, 'noScaling', 'cross-validation', 'Classifier');0,7266666666666666;0,02347575581554535
ridge (1.0, 'noScaling', 'cross-validation', 'Classifier');0,7106666666666668;0,021746008573733443
ridge (10.0, 'scaling', 'cross-validation', 'Classifier');0,7106666666666667;0,02878271085989721
ridge (100.0, 'scaling', 'cross-validation', 'Classifier');0,7106666666666667;0,02878271085989721
ridge (50.0, 'scaling', 'cross-validation', 'Classifier');0,7093333333333334;0,027194770739161517
ridge (0.0, 'scaling', 'cross-validation', 'Classifier');0,7093333333333334;0,029992591677871976
ridge (0.0001, 'scaling', 'cross-validation', 'Classifier');0,7093333333333334;0,029992591677871976
ridge (0.01, 'scaling', 'cross-validation', 'Classifier');0,7093333333333334;0,029992591677871976
ridge (1.0, 'scaling', 'cross-validation', 'Classifier');0,7093333333333334;0,029992591677871976
ridge (5.0, 'scaling', 'cross-validation', 'Classifier');0,7093333333333334;0,029992591677871976
ridge (0.0, 'noScaling', 'cross-validation', 'Classifier');0,6893333333333334;0,027194770739161496
ridge (0.0001, 'noScaling', 'cross-validation', 'Classifier');0,6893333333333334;0,027194770739161496
ridge (0.01, 'noScaling', 'cross-validation', 'Classifier');0,6893333333333334;0,027194770739161496
ridge (100.0, 'noScaling', 'cross-validation', 'Classifier');0,6866666666666668;0,018856180831641263
dt (100, 2, 1, 'cross-validation', 'Classifier');0,37333333333333335;0,02022100118413747
dt (1000, 2, 1, 'cross-validation', 'Classifier');0,37333333333333335;0,02022100118413747
dt (100, 20, 1, 'cross-validation', 'Classifier');0,3733333333333333;0,02231093404090868
dt (1000, 20, 1, 'cross-validation', 'Classifier');0,3733333333333333;0,02231093404090868
dt (100, 2, 10, 'cross-validation', 'Classifier');0,33866666666666667;0,027455013709298655
dt (100, 20, 10, 'cross-validation', 'Classifier');0,33866666666666667;0,027455013709298655
dt (1000, 2, 10, 'cross-validation', 'Classifier');0,33866666666666667;0,027455013709298655
dt (1000, 20, 10, 'cross-validation', 'Classifier');0,33866666666666667;0,027455013709298655
dt (100, 200, 1, 'cross-validation', 'Classifier');0,27599999999999997;0,00800000000000001
dt (1000, 200, 1, 'cross-validation', 'Classifier');0,27599999999999997;0,00800000000000001
knn (11, 'noScaling', 'distance', 'cross-validation', 'Classifier');0,26266666666666666;0,03923717058549909
knn (15, 'noScaling', 'distance', 'cross-validation', 'Classifier');0,25733333333333336;0,032276582498427214
knn (5, 'noScaling', 'distance', 'cross-validation', 'Classifier');0,2546666666666667;0,03166491223210112
