k;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling
weights;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance
validation method;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation
classifier;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform
fit time MEAN;0,515625;0,0;0,0;0,811469316482544;0,20846967697143554;0,3965739727020264;0,15625;0,0;0,0;0,539251184463501;0,3226305961608887;0,36452999114990237;0,140625;0,0;0,0;0,6374167919158935;0,3204785346984863;0,34291973114013674;0,140625;0,0;0,0;0,6372118473052979;0,33729844093322753;0,34148550033569336;0,15625;0,0;0,0;0,6307118892669678;0,31316261291503905;0,3396935939788818;0,15625;0,0;0,0;0,7007236003875732;0,3308533191680908;0,3486675262451172;0,15625;0,0;0,0;0,6496626377105713;0,3672003269195557;0,3257458686828613;0,140625;0,0;0,0;0,8874294757843018;0,30478358268737793;0,2989987373352051
fit time SD;0,0;0,0;0,0;0,06512067790215088;0,01553946413874515;0,04460974795070068;0,0;0,0;0,0;0,011624790956829853;0,0066780101210405785;0,01712604132119885;0,0;0,0;0,0;0,03388439492145956;0,007285224728316483;0,015502293616039078;0,0;0,0;0,0;0,04160957647047296;0,021935827857998736;0,021719564153664436;0,0;0,0;0,0;0,06805724693204739;0,01566840426622947;0,022544561446750707;0,0;0,0;0,0;0,06048528732398762;0,005021808766030277;0,023621417206435544;0,0;0,0;0,0;0,0651545717353271;0,010505745280402054;0,020521645093907154;0,0;0,0;0,0;0,058852451184081826;0,01331484000782457;0,012382764381362934
score time MEAN;8,140625;3,78125;4,09375;5,335269260406494;0,0067841529846191405;0,010433769226074219;8,140625;3,71875;4,171875;6,982992219924927;0,010173416137695313;0,008828401565551758;8,3125;4,9375;4,296875;5,430967330932617;0,009849309921264648;0,007768440246582031;8,1875;4,296875;4,140625;6,004764127731323;0,009972906112670899;0,007779216766357422;9,0;4,328125;4,296875;8,394004535675048;0,009375476837158203;0,007976579666137695;9,25;5,359375;4,265625;7,4750895500183105;0,010974597930908204;0,00897388458251953;10,09375;4,3125;4,15625;5,761463832855225;0,010372400283813477;0,008178091049194336;8,421875;4,390625;4,328125;5,704774236679077;0,007978582382202148;0,006183719635009766
score time SD;0,0;0,0;0,0;0,3443011939208735;0,0008529674681645394;0,0013900307602014367;0,0;0,0;0,0;0,49780429900662526;0,0024301735611615962;0,0019582165629244996;0,0;0,0;0,0;0,2481666276107147;0,0007807100450363281;0,0011653218760604022;0,0;0,0;0,0;0,4136750358923448;0,001995039108723306;0,0017152741198404734;0,0;0,0;0,0;0,5887838779755978;0,001955605356632411;0,0016678737321985195;0,0;0,0;0,0;0,4469038200540316;0,001407916885153978;0,0019958777129038567;0,0;0,0;0,0;0,4049227115187881;0,0010165135199611812;0,001828252308113401;0,0;0,0;0,0;0,3935789453774664;0,0017842465344860311;0,00039858876525036477
accuracy MEAN;0,06;0,006666666666666667;0,013333333333333334;0,05271094930565159;0,027764721352887135;0,014337677386431436;0,06;0,006666666666666667;0,013333333333333334;0,05271094930565159;0,027764721352887135;0,014337677386431436;0,22666666666666666;0,006666666666666667;0,013333333333333334;0,22891093472980648;0,027764721352887135;0,014337677386431436;0,22666666666666666;0,006666666666666667;0,013333333333333334;0,22891093472980648;0,027764721352887135;0,014337677386431436;0,02;0,006666666666666667;0,013333333333333334;0,03058324380010775;0,027764721352887135;0,014337677386431436;0,03333333333333333;0,006666666666666667;0,013333333333333334;0,04771424681893863;0,027764721352887135;0,014337677386431436;0,2;0,006666666666666667;0,013333333333333334;0,18901471137518472;0,027764721352887135;0,014337677386431436;0,24;0,006666666666666667;0,013333333333333334;0,24984427314306998;0,027764721352887135;0,014337677386431436
