;accuracy MEAN;accuracy SD
ridge (0.01, 'noScaling', 'cross-validation', 'Classifier');0,9887645914396888;0,00662871901803609
ridge (100.0, 'scaling', 'cross-validation', 'Classifier');0,9887645914396888;0,00662871901803609
dt (10, 2000, 10, 'cross-validation', 'Classifier');0,9887645914396888;0,006978173709907013
dt (100, 2000, 10, 'cross-validation', 'Classifier');0,9887645914396888;0,006978173709907013
dt (1000, 2000, 10, 'cross-validation', 'Classifier');0,9887645914396888;0,006978173709907013
dt (1, 2, 1, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 2, 10, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 2, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 2, 2000, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 20, 1, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 20, 10, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 20, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 20, 2000, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 200, 1, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 200, 10, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 200, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 200, 2000, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 2000, 1, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 2000, 10, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 2000, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (1, 2000, 2000, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (10, 2, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (10, 2, 2000, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (10, 20, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (10, 20, 2000, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (10, 200, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (10, 200, 2000, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (10, 2000, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (10, 2000, 2000, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (100, 2, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (100, 2, 2000, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (100, 20, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (100, 20, 2000, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (100, 200, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (100, 200, 2000, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
dt (100, 2000, 200, 'cross-validation', 'Classifier');0,988715953307393;0,00699036740203181
