max_depth;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
list_min_samples_split;2;2;2;2;2;2;2;2;2;2;2;2;20;20;20;20;20;20;20;20;20;20;20;20;2;2;2;2;2;2;2;2;2;2;2;2;20;20;20;20;20;20;20;20;20;20;20;20
list_min_samples_leaf;1;1;1;1;1;1;10;10;10;10;10;10;1;1;1;1;1;1;10;10;10;10;10;10;1;1;1;1;1;1;10;10;10;10;10;10;1;1;1;1;1;1;10;10;10;10;10;10
validation method;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation
classifier;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform
fit time MEAN;0,0;0,0;0,0;0,013230037689208985;0,0034027576446533205;0,00450587272644043;0,015625;0,0;0,0;0,015460348129272461;0,004985380172729492;0,004985809326171875;0,015625;0,0;0,0;0,013528871536254882;0,005173110961914062;0,0036046504974365234;0,015625;0,0;0,0;0,031223106384277343;0,004978990554809571;0,004396915435791016;0,046875;0,0;0,0;0,05125946998596191;0,004903459548950195;0,0051857948303222655;0,046875;0,0;0,0;0,040846824645996094;0,005183172225952148;0,0035429477691650392;0,046875;0,0;0,0;0,049935102462768555;0,0038404464721679688;0,003572988510131836;0,015625;0,0;0,0;0,05392723083496094;0,004388570785522461;0,0038021087646484377
fit time SD;0,0;0,0;0,0;0,0014305605593843236;0,0004932563245154933;0,0006330601885740673;0,0;0,0;0,0;0,0012250194717810681;8,58306884765625e-07;0,0;0,0;0,0;0,0;0,0012864112854003905;0,000982995303881799;0,000804901123046875;0,0;0,0;0,0;0,0021813347807290158;0,0006439444150065487;0,0007934208664538522;0,0;0,0;0,0;0,007917514933560603;0,0009786736752882123;0,000399017333984375;0,0;0,0;0,0;0,006355393774522625;0,000399017333984375;0,000489044835712107;0,0;0,0;0,0;0,005915953333007607;0,0008921232908183056;0,0005120163944882225;0,0;0,0;0,0;0,006360481754476384;0,0004888112341665077;0,000750484752192038
score time MEAN;0,140625;0,078125;0,0625;0,008506250381469727;0,006886863708496093;0,008059883117675781;0,125;0,140625;0,125;0,008182144165039063;0,00859222412109375;0,009667587280273438;0,109375;0,109375;0,078125;0,007452058792114258;0,007970428466796875;0,006168508529663086;0,125;0,140625;0,09375;0,018122243881225585;0,008621644973754884;0,007817745208740234;0,078125;0,109375;0,09375;0,005983400344848633;0,008795499801635742;0,008472347259521484;0,09375;0,125;0,109375;0,005229139328002929;0,007410955429077148;0,007576847076416015;0,109375;0,09375;0,109375;0,006486034393310547;0,0076541900634765625;0,006447458267211914;0,109375;0,09375;0,203125;0,006534719467163086;0,008618450164794922;0,007262229919433594
score time SD;0,0;0,0;0,0;0,002289562235590465;0,0010241779690032492;0,00033043086569581006;0,0;0,0;0,0;0,0007824373053300159;0,0005021275184719369;0,00037352887141325967;0,0;0,0;0,0;0,000480841781732045;0,0008891531306929744;0,0005914688110351562;0,0;0,0;0,0;0,0009572606531567263;0,0013006737116998033;0,0004296976718270959;0,0;0,0;0,0;0,0010919705685779276;0,0011689337175993719;0,00041995017932158654;0,0;0,0;0,0;0,0015624292047837776;0,0010241922527710198;0,0004886363180176763;0,0;0,0;0,0;0,0016689494172744043;0,000786078312390387;0,0012999061311813884;0,0;0,0;0,0;0,0007433438241401679;0,0005279600060069391;0,0008051234374442241
accuracy MEAN;0,9875972762645915;0,6342412451361867;0,5063229571984436;0,988715953307393;0,6487354085603113;0,5008268482490272;0,9875972762645915;0,6342412451361867;0,5063229571984436;0,988715953307393;0,6487354085603113;0,5008268482490272;0,9875972762645915;0,6342412451361867;0,5063229571984436;0,988715953307393;0,6487354085603113;0,5008268482490272;0,9875972762645915;0,6342412451361867;0,5063229571984436;0,988715953307393;0,6487354085603113;0,5008268482490272;0,9907587548638133;0,6342412451361867;0,5063229571984436;0,9507782101167315;0,6487354085603113;0,5008268482490272;0,9905155642023347;0,6342412451361867;0,5063229571984436;0,9789883268482489;0,6487354085603113;0,5008268482490272;0,9907587548638133;0,6342412451361867;0,5063229571984436;0,9557879377431906;0,6487354085603113;0,5008268482490272;0,9905155642023347;0,6342412451361867;0,5063229571984436;0,9789883268482489;0,6487354085603113;0,5008268482490272
