validation method;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation
classifier;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform
fit time MEAN;0,0;0,0;0,0;0,01136951446533203;0,0031916618347167967;0,0035096168518066405
fit time SD;0,0;0,0;0,0;0,0007976055359066424;0,00039877895816837876;0,00039490341283559443
score time MEAN;0,125;0,078125;0,078125;0,010770273208618165;0,00478672981262207;0,005677938461303711
score time SD;0,0;0,0;0,0;0,0014654228048798766;0,000977330608897716;0,0010821591599886964
accuracy MEAN;0,9640077821011673;0,6342412451361867;0,5063229571984436;0,9330252918287938;0,6487354085603113;0,5008268482490272
accuracy SD;0,0;0,0;0,0;0,06914498569395257;0,006571729865390848;0,005214951421665452
precision_macro MEAN;0,9353942490473857;0,48932419916743286;0,5036729643373842;0,9066173870652505;0,5046107259030987;0,4980793977327439
precision_macro SD;0,0;0,0;0,0;0,08144545888562019;0,009288995588923168;0,005215495533217612
recall_macro MEAN;0,9752684589724886;0,4897481000580513;0,505026310873337;0,9557888744631977;0,5045902992776059;0,4972975798129098
recall_macro SD;0,0;0,0;0,0;0,04444700125881455;0,009247843102722768;0,007338562832575381
f1_macro MEAN;0,952971141719627;0,48941369718613353;0,4691595441595442;0,9195091480001192;0,5045989747285433;0,46028474113265316
f1_macro SD;0,0;0,0;0,0;0,07802811116272079;0,009268345835195478;0,005638502084200517
