k;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500
scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;scaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling;noScaling
weights;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance;uniform;uniform;uniform;uniform;uniform;uniform;distance;distance;distance;distance;distance;distance
validation method;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation;holdout;holdout;holdout;cross-validation;cross-validation;cross-validation
classifier;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform;Classifier;Baseline stratified;Baseline uniform
fit time MEAN;0,078125;0,0;0,0;0,1380300998687744;0,003989601135253906;0,0033903121948242188;0,09375;0,0;0,0;0,13184614181518556;0,004192447662353516;0,00498509407043457;0,078125;0,0;0,0;0,1037214756011963;0,0033925056457519533;0,0037900447845458985;0,09375;0,0;0,0;0,10452136993408204;0,0029933929443359377;0,002784109115600586;0,078125;0,0;0,0;0,13663382530212403;0,003191375732421875;0,0033905506134033203;0,09375;0,0;0,0;0,14760560989379884;0,003391742706298828;0,0035916805267333985;0,078125;0,0;0,0;0,15757761001586915;0,0033934593200683595;0,0033907413482666014;0,09375;0,0;0,0;0,10731287002563476;0,0033904552459716798;0,0035905838012695312;0,0625;0,0;0,0;0,15019817352294923;0,003793144226074219;0,0037892341613769533;0,078125;0,0;0,0;0,2198122501373291;0,0035907745361328123;0,00339202880859375;0,078125;0,0;0,0;0,1793199062347412;0,0033912181854248045;0,0035906314849853517;0,078125;0,0;0,0;0,14342241287231444;0,004187250137329101;0,00478658676147461;0,09375;0,0;0,0;0,14022340774536132;0,005385208129882813;0,004786014556884766;0,09375;0,0;0,0;0,1901954174041748;0,005385065078735351;0,0053885459899902345;0,109375;0,0;0,0;0,1639638900756836;0,006382894515991211;0,00498509407043457;0,09375;0,0;0,0;0,16845064163208007;0,00398869514465332;0,003987646102905274;0,09375;0,0;0,0;0,1795194625854492;0,005186891555786133;0,004789161682128906;0,109375;0,0;0,0;0,18949480056762696;0,006382513046264649;0,005987405776977539;0,109375;0,0;0,015625;0,17393412590026855;0,00558323860168457;0,004986190795898437;0,125;0,0;0,0;0,22799038887023926;0,007981443405151367;0,006186246871948242;0,140625;0,0;0,0;0,18770108222961426;0,00698089599609375;0,005386877059936524;0,125;0,0;0,015625;0,22080960273742675;0,008578062057495117;0,006780862808227539;0,125;0,0;0,0;0,16695222854614258;0,006981611251831055;0,00538487434387207;0,125;0,0;0,0;0,2018576145172119;0,006583356857299804;0,00698089599609375
fit time SD;0,0;0,0;0,0;0,023275566746692285;0,0010925801511069311;0,0004888112341665077;0,0;0,0;0,0;0,03881363515157304;0,00039691925048828124;0,0;0,0;0,0;0,0;0,02123139577789882;0,0004885776326209085;0,00039882659912109374;0,0;0,0;0,0;0,01535306535465932;0,0006315806785179217;0,0007353987212929434;0,0;0,0;0,0;0,026182585185232896;0,000977155265241817;0,0004888112341665077;0,0;0,0;0,0;0,07419487033591567;0,0004888112341665077;0,0004889280349393074;0,0;0,0;0,0;0,03452570581108058;0,0004891616364849067;0,0004896288395761052;0,0;0,0;0,0;0,022809433908750024;0,0004886944333937081;0,0004882272303025095;0,0;0,0;0,0;0,061420500382541925;0,0009821776984722016;0,0003994941711425781;0,0;0,0;0,0;0,05111422163154683;0,0004885776326209085;0,0004885777024277244;0,0;0,0;0,0;0,035844794130118734;0,0004884608318481088;0,0004884608318481088;0,0;0,0;0,0;0,03481972492956285;0,0007463146614492129;0,0003989219665527344;0,0;0,0;0,0;0,0244426843744184;0,0004885776326209085;0,0003991127014160156;0,0;0,0;0,0;0,028346044334138964;0,0004886945264472149;0,00048799362875691024;0,0;0,0;0,0;0,05206951556869033;0,0007976531982421875;0,0;0,0;0,0;0,0;0,05904887698198819;0,0008921232704288657;0,0008919100121744623;0,0;0,0;0,0;0,05511546173312947;0,00040025711059570317;0,0007472599436922048;0,0;0,0;0,0;0,028633637635188496;0,0004885776326209085;0,0;0,0;0,0;0,0;0,08770307059165713;0,0007980823730520713;0,0006308264123723822;0,0;0,0;0,0;0,06691981343399143;0,0008957495433615299;0,00074565511813198;0,0;0,0;0,0;0,035036638214498365;0,0;0,0007996921582274062;0,0;0,0;0,0;0,04166141678039423;0,0004888112341665077;0,0003986358642578125;0,0;0,0;0,0;0,03645101982120242;0,0;0,0007981300496445403;0,0;0,0;0,0;0,058680536497675906;0,0010175513191525557;4,76837158203125e-07
score time MEAN;0,40625;0,140625;0,125;0,9253263473510742;0,005783891677856446;0,005785131454467773;0,09375;0,109375;0,078125;0,4994192600250244;0,005979394912719727;0,005385828018188476;0,25;0,109375;0,109375;0,8046503067016602;0,005385780334472656;0,0071807861328125;0,109375;0,09375;0,078125;0,4462575912475586;0,005584812164306641;0,005187082290649414;0,265625;0,09375;0,078125;1,0204745292663575;0,005585289001464844;0,005585241317749024;0,34375;0,109375;0,0625;0,6972601413726807;0,005398607254028321;0,005602073669433594;0,390625;0,109375;0,09375;0,812427568435669;0,0053847312927246095;0,0051997661590576175;0,203125;0,109375;0,171875;0,4391591548919678;0,005385684967041016;0,004600000381469726;0,609375;0,09375;0,09375;1,3845137119293214;0,005780601501464843;0,00499882698059082;0,515625;0,09375;0,109375;1,1192123889923096;0,005585479736328125;0,006182193756103516;0,484375;0,09375;0,078125;1,0823094367980957;0,0061992168426513675;0,005584812164306641;0,375;0,09375;0,078125;0,6097792625427246;0,008377599716186523;0,00917515754699707;3,46875;0,109375;0,109375;2,1195518016815185;0,008577251434326172;0,00857696533203125;2,5625;0,140625;0,125;1,7387386322021485;0,009574174880981445;0,007176971435546875;3,359375;0,109375;0,09375;1,3359331607818603;0,008177232742309571;0,007778310775756836;2,09375;0,109375;0,09375;0,7958950996398926;0,007393693923950196;0,005784463882446289;4,90625;0,109375;0,109375;3,782695007324219;0,009573554992675782;0,008974742889404298;4,078125;0,125;0,140625;3,293241786956787;0,011383819580078124;0,009171772003173827;4,78125;0,109375;0,109375;2,6145233154296874;0,009584665298461914;0,009376239776611329;4,453125;0,15625;0,15625;2,33825101852417;0,015155839920043945;0,009388256072998046;8,1875;0,125;0,125;6,747555255889893;0,012965536117553711;0,009972763061523438;8,71875;0,140625;0,125;6,745118618011475;0,015159940719604493;0,012368059158325196;6,640625;0,140625;0,125;4,358658695220948;0,013165092468261719;0,0099884033203125;7,15625;0,140625;0,125;3,874606990814209;0,011967134475708009;0,00997457504272461
score time SD;0,0;0,0;0,0;0,008330218208254097;0,0007454225960629006;0,0003988265991210938;0,0;0,0;0,0;0,0030069377299066667;0,0008908452011856543;0,0013536117300138274;0,0;0,0;0,0;0,0316936460551778;0,0013531336140344679;0,0003988265991210938;0,0;0,0;0,0;0,008065634321831269;0,001016411020174785;0,0014658109305038124;0,0;0,0;0,0;0,029732587623731814;0,0011974493667790767;0,0004886555308230838;0,0;0,0;0,0;0,04251510278132404;0,0013690449103561087;0,0013665966726792524;0,0;0,0;0,0;0,016151126893589426;0,0013522477700502846;0,00148056659600828;0,0;0,0;0,0;0,011934817855929727;0,0013526696136377174;0,0012117173075777863;0,0;0,0;0,0;0,0776063438198334;0,0009722496327842319;0,001684829660474104;0,0;0,0;0,0;0,05045331045012223;0,0011976718950049486;0,0007467989685912885;0,0;0,0;0,0;0,01939451737852678;0,000762886769740738;0,001352852395205407;0,0;0,0;0,0;0,015622372792158501;0,0011970043229861112;0,0003990650604326424;0,0;0,0;0,0;0,061114776554545745;0,001955128135893231;0,000488499889559823;0,0;0,0;0,0;0,136735567053908;0,0007978677803066909;0,0007460090381747942;0,0;0,0;0,0;0,028768393445133003;0,0015955924987792968;0,0003988265991210938;0,0;0,0;0,0;0,08044201871590022;0,0013683061777438716;0,0009770774135738135;0,0;0,0;0,0;0,1289256904161225;0,001620170836783018;0,0006310554974723663;0,0;0,0;0,0;0,19480013534017412;0,000806454787840295;0,0017151187731361058;0,0;0,0;0,0;0,08224706222869232;0,0019459008748420594;0,00048826691673520354;0,0;0,0;0,0;0,020507146260145735;0,0007451383150745401;0,002170288641840673;0,0;0,0;0,0;0,24396474555893155;0,001994895935058594;0,0010917575458121705;0,0;0,0;0,0;0,1761570778316842;0,002220957960048142;0,0013539210653180618;0,0;0,0;0,0;0,16483428489293986;0,0022213433123290244;0,0009055794309897593;0,0;0,0;0,0;0,22100439546631495;0,002091714552320305;0,0018933089644305862
accuracy MEAN;0,9931906614785992;0,6342412451361867;0,5063229571984436;0,9329766536964982;0,6487354085603113;0,5008268482490272;0,9931906614785992;0,6342412451361867;0,5063229571984436;0,9329766536964982;0,6487354085603113;0,5008268482490272;0,9890564202334631;0,6342412451361867;0,5063229571984436;0,9523346303501945;0,6487354085603113;0,5008268482490272;0,9890564202334631;0,6342412451361867;0,5063229571984436;0,9523346303501945;0,6487354085603113;0,5008268482490272;0,992704280155642;0,6342412451361867;0,5063229571984436;0,9690661478599223;0,6487354085603113;0,5008268482490272;0,9946498054474708;0,6342412451361867;0,5063229571984436;0,9619649805447471;0,6487354085603113;0,5008268482490272;0,9888132295719845;0,6342412451361867;0,5063229571984436;0,9803501945525293;0,6487354085603113;0,5008268482490272;0,9895428015564203;0,6342412451361867;0,5063229571984436;0,9793287937743191;0,6487354085603113;0,5008268482490272;0,9892996108949417;0,6342412451361867;0,5063229571984436;0,9688715953307392;0,6487354085603113;0,5008268482490272;0,9910019455252919;0,6342412451361867;0,5063229571984436;0,9690661478599221;0,6487354085603113;0,5008268482490272;0,9878404669260701;0,6342412451361867;0,5063229571984436;0,9825875486381322;0,6487354085603113;0,5008268482490272;0,9880836575875487;0,6342412451361867;0,5063229571984436;0,982976653696498;0,6487354085603113;0,5008268482490272;0,9883268482490273;0,6342412451361867;0,5063229571984436;0,9681420233463035;0,6487354085603113;0,5008268482490272;0,9900291828793775;0,6342412451361867;0,5063229571984436;0,9688229571984437;0,6487354085603113;0,5008268482490272;0,9878404669260701;0,6342412451361867;0,5063229571984436;0,981420233463035;0,6487354085603113;0,5008268482490272;0,9883268482490273;0,6342412451361867;0,5063229571984436;0,9820038910505836;0,6487354085603113;0,5008268482490272;0,9880836575875487;0,6342412451361867;0,5063229571984436;0,9638618677042802;0,6487354085603113;0,5008268482490272;0,9883268482490273;0,6342412451361867;0,5063229571984436;0,9655155642023348;0,6487354085603113;0,5008268482490272;0,9837062256809338;0,6342412451361867;0,5063229571984436;0,9756809338521402;0,6487354085603113;0,5008268482490272;0,9871108949416343;0,6342412451361867;0,5063229571984436;0,9793774319066149;0,6487354085603113;0,5008268482490272;0,9880836575875487;0,6342412451361867;0,5063229571984436;0,9600680933852139;0,6487354085603113;0,5008268482490272;0,9883268482490273;0,6342412451361867;0,5063229571984436;0,965272373540856;0,6487354085603113;0,5008268482490272;0,9827334630350194;0,6342412451361867;0,5063229571984436;0,946692607003891;0,6487354085603113;0,5008268482490272;0,9866245136186771;0,6342412451361867;0,5063229571984436;0,9783560311284047;0,6487354085603113;0,5008268482490272
